| 原始标签 | 名称 | 描述 | 外部链接 |
| korean | 韩语 | 朝鲜语（조선어／朝鮮語），韩国称韩国语（한국어／韓國語），是通行于韩国、朝鲜及中国东北、俄罗斯远东地区、日本等朝鲜族聚居地区的语言。 |  |
| mongolian | 蒙古语 | 蒙古语是蒙古民族说的语言，属于阿尔泰语系蒙古语族。蒙古语有很多方言，主要分为中部方言、西部方言（卫拉特语）、北部方言（布里亚特语）和东部方言（科尔沁-喀喇沁）。蒙古语接近辽国的契丹语，但是由于契丹文尚未完全解读，很难进行语言历史比较。 |  |
| norwegian | 挪威语 | 挪威语（norsk）是日耳曼语族的一个分支，普遍通用于挪威，也是挪威的官方语言。挪威语与瑞典语和丹麦语十分相似，操这三种语言的人也可以互相沟通。由于丹麦语从十六世纪至十九世纪期间一直是挪威地区的标准书写语言，以致近代的挪威语发展一直都受著爱国主义、城乡隔阂以及挪威文学史的争议所影响。 |  |
| polish | 波兰语 | 波兰语（język polski）是波兰的官方语言。也是西斯拉夫语支中使用人数最多的语种。 |  |
| portuguese | 葡萄牙语 | 葡萄牙语（葡语：Português）是罗曼语族的一种语言。葡语以使用国家数量来算是世界排名第七的语言，使用地区包括葡萄牙、巴西、安哥拉、莫桑比克、佛得角、圣多美和普林西比、几内亚比索、东帝汶和澳门，共计九个国家或地区。超过两亿人口以葡萄牙语为母语。 |  |
| romanian | 罗马尼亚语 | 罗马尼亚语（limba română，国际音标：/'limba ro'mɨnə/）属于罗曼语族的东罗曼语支。它是罗马尼亚和摩尔多瓦的官方语言，被大约两千四百万人当作母语，其中大部分聚集在罗马尼亚和摩尔多瓦两国，同时也有大约四百万人把罗马尼亚语当作第二语言。罗马尼亚语也是欧盟的官方语言之一。 |  |
| russian | 俄语 | 俄语（俄语：ру́сский язы́к，罗马化：russkij jazyk，发音[ˈruskʲɪj jɪˈzɨk]）俄语为联合国官方语言之一。俄语属于斯拉夫语族的东斯拉夫语支，是斯拉夫语族中使用人数最多的语言，是俄罗斯、白俄罗斯、吉尔吉斯斯坦及哈萨克斯坦的官方语言，主要在俄罗斯等前苏联加盟共和国中使用，且在华约的成员国里曾经被学校广泛列为第一外语教学。 |  |
| slovak | 斯洛伐克语 | 斯洛伐克语（slovenský jazyk / slovenčina）属于印欧语系斯拉夫语族西斯拉夫语支，同波兰语和捷克语以及索布语相近，特别是跟捷克语的使用者可以无障碍的交流。斯洛伐克语主要使用在斯洛伐克，其次使用于捷克和塞尔维亚。 |  |
| slovenian | 斯洛文尼亚语 | 斯洛文尼亚语（slovenski jezik 或 slovenščina），属印欧语系斯拉夫语族，为斯洛文尼亚的官方语言，在全球有约2百万使用者，分为6种互不相通的方言。斯洛文尼亚语比较接近塞尔维亚-克罗地亚语。 |  |
| spanish | 西班牙语 | 西班牙语（Español），也称卡斯特亚诺语（Castellano），简称西语，西班牙语是除英语、法语和阿拉伯语之外最多国家的官方语言也为联合国官方语言之一。西班牙语起源于西班牙卡斯蒂利亚的语文，为罗曼语族的分支。除了发源地西班牙之外，使用者主要集中在拉丁美洲国家，约有4亿人使用。 |  |
| swedish | 瑞典语 | 瑞典语（svenska）是北日耳曼语（也称为斯堪的那维亚语）的一种，主要使用地区为瑞典、芬兰（尤其是奥兰岛），使用人数超过九百万人。它和斯堪的那维亚地区另外两种语言——丹麦语和挪威语——是相通语言。和其它北日耳曼语一样，瑞典语来源于古诺尔斯语。古诺尔斯语是维京时期斯堪的那维亚地区通用语言。 |  |
| tagalog | 他加禄语 | 他加禄语（Wikang Tagalog），又称为他加洛语、塔加洛语和塔加路语，在语言分类上属于南岛语系的马来-玻里尼西亚语族，主要于菲律宾吕宋岛使用。菲律宾的国语之一菲律宾语（英语为另一官方语言或第二语言），正是以他加禄语为主体发展而来的。 |  |
| thai | 泰语 | 泰语，又称中部泰语（ภาษาไทย，转写：phasa thai，国际音标：[pʰāːsǎːtʰāj]），旧称暹罗语或阿瑜陀耶语（现仍偶有使用），属壮侗语系侗台语族，是泰国的官方语言。它是一种分析型的声调语言。 |  |
| turkish | 土耳其语 | 土耳其语（Türkçe；[t̪yɾktʃe]）是一种现有6500万到7300万人使用的语言，属于阿尔泰语系突厥语族，主要在土耳其本土使用，并通行于阿塞拜疆、塞浦路斯、希腊、马其顿、罗马尼亚、乌孜别克和土库曼斯坦，以及在西欧居住的数百万土耳其裔移民（主要集中在德国）。土耳其语是突厥语族诸语中使用人数最多语言。 |  |
| ukrainian | 乌克兰语 | 乌克兰语（українська мова）是斯拉夫语族东斯拉夫语支的一种语言。它是乌克兰的官方语言，同时也是乌克兰两种主要通用语言之一。乌克兰文采用西里尔字母，所用字母同俄文有一定区别。乌克兰语使用人数有4700万，在斯拉夫语族中，仅次于俄语和波兰语。 |  |
| vietnamese | 越南语 | 越南语（Tiếng Việt／㗂越）又称越语（Việt Ngữ／越語）、京语（Tiếng Kinh／㗂京）及国语（Quốc Ngữ／國語），除此之外，还有一个现代少用的前法国殖民地名称安南语（Tiếng An Nam／㗂安南）。越南语是越南的国家语言，有85至90%的越南人将之作为母语，另外居住在海外的3百万越侨、住在中国广西的京族亦使用越南语。历史上，越南语曾经使用汉字与喃字表记（即汉喃文），现代则使用以拉丁字母为基础，添加若干个新字母及声调符号的国语字（Chữ Quốc Ngữ／𡨸國語）书写。 |  |
|  | == 技术性标签 == |  |  |
| speechless | 无言 | 画廊没有任何表示交谈或叙事意义的文字。设置该画廊语言为无语言(N/A)。含有拟声词或发出声音不影响此标签。不能在图画集、游戏CG和没有清晰描绘一系列事件（即没有视觉叙事）的作品中使用此标签。不要和`text cleaned`混淆。 | (\*) |
| text cleaned | 文字清除 | 去除了漫画或 CG 集上的文字。不用于同时包含无字版本和文字版本的画廊。不要和`speechless`混淆。 | (\*) |
| translated | 翻译 | 任何由第三方从原始语言翻译的版本。需要一个语言标签。 | (\*) |
| rewrite | 重写 | 替换了原有的文字或在没有文字的画廊添加了文字。需要一个语言标签。 | (\*) |
