| 原始标签 | 名称 | 描述 | 外部链接 |
| lump of sugar | ![icon](https://tva1.sinaimg.cn/large/6c84b2d6ly1fzmcpa6c1xg200o00c09x.gif)Lump of Sugar | ![Logo](http://www.lumpofsugar.co.jp/img/common/header_logo.png)<br>中文地区又称「方糖社」或者「角砂糖」，是一家日本GalGame制作公司。<br>会社游戏风格以幻想系恋爱冒险游戏为主。<br>编者按：角色可怜诱人，爱丝袜+萌系少女的不可错过。<br>![图](https://ehgt.org/3d/20/3d20f67d479af1c60b4d621e28d19192199148df-1229168-1280-720-png_l.jpg) | [官方网站](http://www.lumpofsugar.co.jp/) |
| aquaplus | AQUAPLUS | 又到了《白色相簿》的季节。<br>![图](# "https://ehgt.org/c7/c4/c7c491d4ffc68e35fe5551865197281460d78b6a-202259-1280-720-jpg_l.jpg")<br>《传颂之物》（好想和艾露露在一起）<br>![图](# "https://ehgt.org/6f/c1/6fc19b66f599026004c59d5e057524e6ecd4ae93-3041974-4877-6950-jpg_l.jpg")<br>《To Heart2》<br>![图](# "https://ehgt.org/4b/99/4b99cf599ba8063c753a5e3a3354ac63671fc263-3374761-4846-6958-jpg_l.jpg") | [官方网站](https://aquaplus.jp/) |
| leaf | Leaf🍃 | Leaf 社是 AQUAPLUS 旗下开发及发售十八禁游戏的厂商和品牌<br>![logo](https://leaf.aquaplus.jp/confirm/images/leaf.png)<br>![图](https://ehgt.org/2a/50/2a505b55f08336e6a411f5387a7dc38c07f5f247-70604-320-452-jpg_250.jpg) | [官方网站](https://leaf.aquaplus.jp/) |
| key | 🔑Key | Key 会社<br>![logo](http://key.visualarts.gr.jp/common/logo.gif)<br>神作工厂<br>![图](https://ehgt.org/9c/f3/9cf34e2a965583459c5b466b2b732bd2380bf9da-198132-1122-1600-jpg_250.jpg) | [官方网站](http://key.visualarts.gr.jp/) |
| alcot | ALcot | ![logo](http://www.alcot.biz/img/logo.png)<br>画风棒<br>![图](https://ehgt.org/ea/e9/eae900f8b36399c9b2bef3635829ff1f0252bee5-6200881-2470-3480-png_250.jpg) | [官方网站](http://www.alcot.biz/) |
| alcot honey comb | ALcot Honey Comb | ![logo](http://e.hiphotos.baidu.com/baike/w%3D268%3Bg%3D0/sign=63a5f1e08026cffc692ab8b4813a2dad/4ec2d5628535e5dd33f122a674c6a7efcf1b62ee.jpg)<br>ALcot 旗下品牌<br>![图](https://ehgt.org/dc/8a/dc8ad8858eff60123144936beda060fb4e6c6bd1-116605-320-460-jpg_250.jpg) | [官方网站](hhttp://www.h-comb.biz/) |
| august | AUGUST | AUGUST（オーガスト）是日本叶月株式会社旗下专责开发贩售成人游戏的品牌，目前加入以戏画为首的Partner Brand。在网络上常常以八月来称呼该公司。<br>![图](https://ehgt.org/45/a6/45a62a87e7ea4496033b9e24fd60228ba07546aa-75238-320-490-jpg_l.jpg)![图](https://ehgt.org/a0/27/a027f455298046a8a89cc2048b8eed79bf341621-151465-350-500-jpg_l.jpg) | [官方网站](http://august-soft.com/) [维基百科](https://zh.wikipedia.org/zh-cn/AUGUST) (\*) |
| feng | feng | feng 是一家位于日本千叶县市川市的游戏制作公司（白玫瑰有限公司）。名字来源于汉字里的风的拼音。 | [萌娘百科](https://zh.moegirl.org/Feng) [官方网站](http://www.feng.jp/) (\*\*) |
| frontwing | FrontWing | FrontWing是一家于2000年成立的日本成人游戏公司。<br>《魔界天使》系列<br>![图](https://ehgt.org/e9/5c/e95c9f224df3b10a1b4abdcb80abdbf8f99d696d-162659-640-480-jpg_l.jpg)![图](https://ehgt.org/c8/b0/c8b0c1166971d2a52ee4ad822b925a3ad3817eda-91664-800-600-jpg_l.jpg)<br>灰色系列<br>![图](https://ehgt.org/db/24/db244a8ef416fe798d52fdeb41255c6b531b0ca6-60857-352-500-jpg_l.jpg)![图](https://ehgt.org/7f/29/7f298694d6119bd657231034cd03b8f7c670a99a-113136-320-460-jpg_l.jpg)![图](https://ehgt.org/43/53/435307984b8e29fe0a604a7de2a2b9f990c3baf0-110607-320-460-jpg_l.jpg) | [官方网站](http://frontwing.jp/) |
| atelier d | Atelier D |  |  |
| atelier kaguya | Atelier KAGUYA |  |  |
| atelier kaguya honky-tonk pumpkin | Atelier KAGUYA Honky-Tonk Pumpkin |  |  |
| atelier kaguya team gassa-q | Atelier KAGUYA TEAM Gassa-Q |  |  |
| atelier kaguya team heartbeat | Atelier KAGUYA TEAM HEARTBEAT |  |  |
| atelier kaguya berkshire yorkshire | Atelier KAGUYA Berkshire Yorkshire |  |  |
| atelier sakura roshutsu yuugi | 樱花工作室 露出＊游戏 |  |  |
| atelier sakura konmai studio | 樱花工作室 こんまいすたじお |  |  |
| atelier sakura darkness | 樱花工作室 DARKNESS |  |  |
| atelier sakura team.ntr | 樱花工作室 Team.NTR |  |  |
| atelier sakura mount position | 樱花工作室 Mount Position |  |  |
| atelier sakura extra | 樱花工作室 eXtra |  |  |
| abel software | AbelSoftware |  |  |
| type-moon | 🌙TYPE-MOON | EX咖喱棒！<br>![图](https://ehgt.org/b5/cf/b5cfbf85de09ec9d8594fe37f87f43bb90c781ff-36026-320-389-jpg_l.jpg) |  |
| nitroplus | Nitro+ |  |  |
| 5pb | 5pb. |  |  |
| aniseed | AniSeed |  |  |
| candysoft | Candy Soft |  |  |
| ricotta | Ricotta | Ricotta（リコッタ）是QUALITY CONFIDENCE（クオリティコンフィデンス）公司旗下的成人游戏品牌。品牌名称Ricotta是一种意大利原产的奶制品。 | [维基百科](https://zh.wikipedia.org/wiki/Ricotta) [官方网站](http://www.ricotta-soft.jp/) (\*) |
| whirlpool | Whirlpool | ![logo](https://whirlpool.co.jp/favicon.ico) | [官方网站](https://whirlpool.co.jp) |
| giga | 戏画 | ![logo](http://www.web-giga.com/top/favicon.ico)戏画（戯画）是位于日本大阪的游戏制造商TGL的18禁游戏品牌。关联公司有猫猫软体（ねこねこソフト）、AUGUST（オーガスト）、HOOKSOFT、牛奶软体（みるくそふと）等。 | [官方网站](https://www.web-giga.com/) [维基百科](https://zh.wikipedia.org/zh-cn/戲畫_%28遊戲品牌%29) (\*) |
| milksoft | 牛奶软件 |  |  |
|  | ▲ GAL公司 |  |  |
|  | ▼ 其他游戏公司 |  |  |
| falcom | Falcom | 日本Falcom股份有限公司（日语：日本ファルコム株式会社；英语：Nihon Falcom Corporation）是主要开发及贩售电脑游戏软体的日本公司，其代表作品有《Dragon Slayer系列》、《伊苏系列》和《英雄传说系列》等。 | [维基百科](https://zh.wikipedia.org/zh-cn/日本Falcom) [官方网站](http://www.falcom.co.jp/) (\*) |
| softstar | 大宇资讯 | ![logo](http://www.softstar.net.cn/Public/static/root/img/logo.jpg)<br>仙剑奇侠传系列、轩辕剑系列等作品。 | [官方网站](http://www.softstar.net.cn) |
| dmm.com | DMM.com | ![logo](http://p.dmm.com/p/common/header/logo/logo_com.png)<br>DMM，可以简单理解为日本当前最为火爆的页游平台。DMM Games参与开发并在自家平台上发行的产品《舰队Collection》是时下日本最火的页游 | [官方网站](http://www.dmm.com) |
| kadokawa | KADOKAWA | ![](http://www.kadokawa.co.jp/common/img/logo_kadokawa.png)<br>KADOKAWA公司（日语：株式会社KADOKAWA；英语：KADOKAWA CORPORATION）是一家日本出版公司，为角川多玩国的子公司，也是KADOKAWA集团的核心，拥有包含角川书店在内的诸多品牌。 | [维基百科](https://zh.wikipedia.org/wiki/KADOKAWA) [官方网站](http://www.kadokawa.co.jp) (\*) |
|  | ▲ 其他游戏公司 |  |  |
|  | ▼ 同人社团 |  |  |
| electromagneticwave | ElectromagneticWave | ![logo](http://www.ne.jp/asahi/magneticwave/popcan/top5_logo.gif)<br>`moetan` 作者 `pop` 所在的社团<br>![萌单](http://www.ne.jp/asahi/magneticwave/popcan/cafe.jpg) | [社团官方网站](http://www.ne.jp/asahi/magneticwave/popcan/) |
| usotsukiya | 嘘つき屋 | 大嘘的社团名，袜控，女子高中生画家<br>![大嘘作品](https://ehgt.org/72/3c/723ca0e20e7cbf1b9f83c3a082c37b560de437aa-2602261-1787-2500-jpg_250.jpg) |  |
| archetype | ARCHETYPE | `akaza`的社团名，袜控。<br>![Akaza作品](# "https://ehgt.org/11/17/11178f56c948ea4caade26839057ec9c5ae65e36-691109-1409-2000-jpg_250.jpg") |  |
| afterschool of the 5th year | 5年目の放課後 | `kantoku`的社团名。<br>![Kantoku作品](https://ehgt.org/8d/53/8d53fa5744869ad31d94189938d0f9a93d996f21-2008842-2492-3500-jpg_l.jpg) |  |
| tsf no f | TSF的F | 以F为中心的“TSF的F社团”，以变身性转换作品为主![F的作品](# "https://ehgt.org/6e/15/6e1509306e069bea87b39b83821c9fff99c89dca-7153718-4299-6071-jpg_l.jpg") |  |
| number2 | ![Logo](http://number2-takuji.com/favicon.ico)Number2 | ![Banner](http://number2-takuji.com/banner.gif)<br>![Number2](https://ehgt.org/5c/2d/5c2db0cbf62529b4dc0ec012aa3cf431d2136999-1711821-1281-1800-jpg_l.jpg) | [官方网站](http://number2-takuji.com) [Twitter](https://twitter.com/number2_takuji) |
| plant | PLANT |  |  |
| opaque | Opaque |  |  |
| shiroganeya | しろがね屋 |  |  |
| horizontal world | Horizontal World |  |  |
| mousou deguchi | 妄想出口 |  |  |
| venom | VENOM |  |  |
| tsuchinoko kyoukai | ツシノコ協会 |  |  |
| sekine | 咳寝 |  | [官方网站](http://sekine37.blog.fc2.com) |
| ippongui | 一本杭 |  | [官方网站](http://shake.noor.jp) |
| aomidoro | アオミドロ |  | [官方网站](http://sesina.blog.fc2.com) |
| otukimi koubo | おつきみ工房 |  | [官方网站](https://otukimikoubou.com) |
| monsieur | MonsieuR |  |  |
| orange peels | オレンジピールズ |  | [官方网站](http://www.orchard.topaz.ne.jp/~orepee) |
| wata 120 percent | 綿120パーセント |  |  |
| watsukiya | わつき屋 |  |  |
| sotikoti | ソチコチ |  |  |
| 320bpm | 320BPM |  | [官方网站](http://320bpm.x.fc2.com) |
| intoku.info | いんとくいんふぉ |  |  |
| 47sp | 47sp. |  | [官方网站](http://47sp.cc) |
| shibayukiya | 芝雪屋 |  |  |
| news | NEWS |  |  |
| shimajiya | しまじや |  |  |
| canvas garden | CANVAS+GARDEN |  | [官方网站](http://www.canxden.net) |
| mc | MC |  |  |
| animachine | アニマルマシーン |  |  |
| ailail | あいるあいる |  |  |
| moe hime rengou | 萌姬连合 |  |  |
| digital lover | Digital Lover |  | [官方网站](http://www.digitallover.net) |
| mone keshi gum | MONEけしごむ |  |  |
| nama cream biyori | 生クリームびより |  |  |
| clesta | クレスタ |  | [官方网站](http://clesta.net) |
| onasuga 99-yen | おナスが99円 |  |  |
| karomix | KAROMIX |  |  |
| shoot the moon | シュート・ザ・ムーン |  |  |
| kansai gyogyou kyoudou kumiai | 关西渔业协同组合 |  |  |
| rainwaterserver | RainWaterServer |  | [官方网站](http://medianstripparty.blog.fc2.com) |
| lily lily rose | Lily Lily Rose |  | [Twitter](https://twitter.com/tappe33) [pixiv](https://www.pixiv.net/users/3917786) [官方网站](http://lilylilyrose.net) |
| himura nyuugyou | 比村乳业 |  |  |
| raijinkai | 雷神会 |  |  |
| miyamaya | 深山屋 |  |  |
| onna kishi no shiro | 女騎士の城 |  |  |
| yonsai books | 四才ブックス |  | [Twitter](https://twitter.com/4saibooksOGATA) [pixiv](https://www.pixiv.net/users/83095) |
| pastel wing | PASTEL WING |  | [官方网站](http://pastelwing.net) |
| ajisaidenden | アジサイデンデン |  | [Twitter](https://twitter.com/ajisaidenden_cm) [官方网站](http://ajisaidenden.x.fc2.com) |
| attendance number 26 | 出席番号26 |  | [官方网站](http://attendancenumber26.blog137.fc2.com) |
| yu-yu-tei | 悠々亭 |  |  |
| circle ohigetan | サークル尾髭丹 |  |  |
| mahou rikigaku | 魔法力学 |  |  |
| minimum game koubou | ミニマムゲーム工房 |  |  |
| santa star festa | Santa☆Festa! |  | [官方网站](http://www.airamatnas.com) |
| byousatsu tanukidan | 秒杀狸团 |  | [官方网站](http://mtomita.blog5.fc2.com) |
| seven days holiday | セブンデイズホリディ |  | [pixiv](https://www.pixiv.net/users/109497) [官方网站](http://howlingmine.com/7dh) |
| uchuu bunko | 宇宙文库 |  |  |
| nakayohi mogudan | なかよひモグダン |  |  |
| suteuka no koya | すてうかの小屋 |  |  |
| at ism | @ism |  |  |
| twinbox | TwinBox | 「TwinBox」是`hanahanamaki`和`sousouman`共同的同人社团名称，同时也是商业活动的笔名。 | [Twitter](https://twitter.com/digimon215) [pixiv](https://www.pixiv.net/users/264932) [微博](https://weibo.com/u/5189316437) [官方网站](https://www.twinbox-tb.com) |
| ame nochi yuki | あめ のち ゆき |  |  |
| mataro | 魔太郎 |  |  |
| otonano do-wa | 大人の寓話 |  |  |
| tsukuru no mori kabushikigaisha | ツクルノモリ株式会社 |  |  |
| asanoya | 浅野屋 |  | [官方网站](http://asanoyadoujin.web.fc2.com) |
| neko works | NEKO WORKs |  |  |
| goshujinsama no omochabako | 御主人様の玩具箱 |  |  |
| rairaku jinja | 磊落神社 |  |  |
| mani mania | マニまにあ |  |  |
| kongari tokei | こんがり時計 |  |  |
| circle kame | さーくる亀 |  |  |
| sugiura-ke | 杉浦家 |  |  |
| atelier-g | Atelier-G |  |  |
| atelier tiv | Atelier Tiv |  |  |
| atelier lunette | Atelier Lunette |  |  |
| atelier gh | Atelier G/H |  |  |
| atelier botan | あとりえ牡丹 |  |  |
| atelier kinta | あとりえKINTA |  |  |
| atelier miyabi | あとりえ雅 |  |  |
| atelier knee stroke | あとりえ にーすとろーく |  |  |
| atelier pachira | アトリエパキラ |  |  |
| atelier pinpoint | アトリエ ピン・ポイント |  |  |
| atelier hachifukuan | アトリエ八福庵 |  |  |
| atelier gons | アトリエ GONS |  |  |
| atelier maruwa | アトリエ丸和 |  |  |
| atelier ms | Atelier Ms |  |  |
| kinokonabe hinanjo | きのこなべ避難所 |  |  |
| s-size | Sサイズ |  |  |
| mugen at works | むげん@WORKS |  |  |
| hyogetsu | 冰月 |  |  |
| garakuta shoujo | がらくた少女 |  |  |
| mosquito man | モスキートマン |  |  |
| metal | METAL |  |  |
| watanabe tou | 渡边党 |  |  |
| suzuna jct | SUZUNA JCT |  |  |
| amagami dou | あまがみ堂 |  |  |
| bitch bokujou | Bitch牧场 |  |  |
| antyuumosaku | 暗中模索 |  |  |
| kurumaya | 車ヤ |  |  |
| shiitake en | しいたけ園 |  |  |
| makutsutei | 魔窟亭 |  |  |
| studio pal | STUDIO PAL |  |  |
| frac | FRAC |  |  |
| karaageyasan | からあげ屋さん |  |  |
| meltdown comet | MeltdoWN COmet |  |  |
| karakishi youhei-dan | からきし傭兵団 真雅 |  |  |
| blusterlight | BlusterLight |  |  |
| 24 page | 24ぺーじ |  |  |
| holy water club | ほーりーうぉーたー倶楽部 |  |  |
| black currant | ブラックカラント |  |  |
| ankoku soshiki | 暗黑组织 |  |  |
| sweet heart | Sweet HEART |  |  |
| zenmai kourogi | ぜんまいこうろぎ |  |  |
| tsuki no hikari keikaku | 月ノヒカリ計画 |  |  |
| aozora | 青尾空 |  |  |
| shoujo kishidan | 少女骑士团 |  |  |
| shimoyakedou | しもやけ堂 |  |  |
| jun and yuri | Jun&Yuri |  |  |
| haiiro koubou | 灰色工房 |  |  |
| chocolate latte | ショコラテ |  |  |
| chi-ra-rhyzhm | ちらりずむ |  |  |
| osamuya | オサム屋 |  |  |
| sleeve | SLeeVe |  |  |
| paranoia cat | PARANOIA CAT |  |  |
| kobuta no yakata | 子豚の館 |  |  |
| crazy9 | Crazy9 |  |  |
| essentia | ESSENTIA |  | [官方网站](http://www.fujimatakuya.com) |
| redrop | ReDrop |  |  |
| shirando | 炽鸾堂 |  |  |
| special star week | Special☆Week |  |  |
| n and r | N&R |  |  |
| 8chomeno-ohanayasan | 8丁目のお花屋さん |  |  |
| kabu fujisawa minato shinsenkan | ㈱藤沢みなと新鮮館 |  |  |
| uran-factory | URAN-FACTORY |  |  |
| hiyoko no gekijoh | ひよこの劇場 |  | [官方网站](https://hiyogeki.tumblr.com) |
| yakiyama line | YAKIYAMA LINE |  |  |
| gallop dyna | ぎゃろっぷだいな |  |  |
| trick and treat | TRICK&TREAT |  |  |
| shirokumaya | しろくま屋 |  |  |
| nanairo no neribukuro | 七色のねりぶくろ |  |  |
| ucyunekogundan | 宇宙猫军团 |  |  |
| mokoke | もこ家 |  |  |
| p-kan | p-馆 |  |  |
| inst | Inst |  |  |
| plum | PLUM |  |  |
| kaze no gotoku | 風のごとく! |  |  |
| haitoku sensei | はいとく先生 |  |  |
| angyadow | 行脚堂 |  |  |
| noraneko-no-tama | ノラネコノタマ |  |  |
| hizadati zekkouchou | ひざだち絶好調 |  |  |
| sakananekobeya | 鱼猫部屋 |  |  |
| white drop | ホワイトドロップ |  |  |
| dieselmine | ディーゼルマイン |  |  |
| ojou no yokushitsu | お嬢の浴室 |  | [官方网站](https://ojounoyokushitsu.tumblr.com) |
| nagiyamasugi | ナギヤマスギ |  | [pixiv](https://www.pixiv.net/users/62628) [官方网站](http://nagiyamasugi.com) |
| awatake | あわたけ |  |  |
| gasobook | GASOBooK!! |  |  |
| shiohama workshop | SHIOHAMA WORKSHOP |  |  |
| irotenya | 色点屋 |  |  |
| watakubi | わたくび |  |  |
| kirikiri | きりきり |  |  |
| kohagura. | こはぐら。（こぐろ屋。） |  |  |
| gambler club | ギャンブラー倶楽部 |  |  |
| usagi no oyatsu | ぅさぎのぉゃっ |  |  |
| hakke deneijyo | 八卦电影城 |  |  |
| kuma aji tounyuu. | くま味豆乳。 |  |  |
| tamaranchi | たまらんち |  |  |
| lucky chance | Lucky Chance! |  |  |
| chicken chicken machine | チキチキ☆マシーン |  |  |
| ice coffin | ICE COFFIN |  |  |
| teriyaki nikuman | てりやきにくまん |  |  |
| chijoku an | 耻辱庵 |  |  |
| otajai | オタじゃい |  |  |
| hades | ハーデス |  |  |
| kurawanya | くろわん屋 |  |  |
| 54burger | 54BURGER |  |  |
| yadokugaeru | ヤドクガエル |  |  |
| butagoya | ぶた小屋 |  |  |
| momo ego | ももエゴ |  |  |
| wada mountain | 和田マウンテン |  |  |
| area14 | エリア14 |  |  |
| komorikiri. | こもりきり。 |  |  |
| circle eden | Circle Eden |  |  |
| fukutsuu okosu | 腹痛起こす |  |  |
| aodouhu | 青豆腐 |  |  |
| team lucky | チーム☆ラッキー |  |  |
| deep rising | DEEP RISING |  |  |
| past gadget | Past Gadget |  |  |
