| 原始标签 | 名称 | 描述 | 外部链接 |
| cirno | 琪露诺 | ![图](https://ehgt.org/b8/91/b891f4a7db0f7e78f881364b0e2db214b1dc571a-3317080-2104-2988-png_l.jpg)![图](https://ehgt.org/30/ff/30ff7556f41bec57f172e3aeaf70cf440c47acdf-2704467-2110-3032-jpg_l.jpg)![图](https://ehgt.org/ea/bf/eabf9c8b5ca4deee5abb65deb5725aa80d994bf9-3389479-2118-3006-jpg_l.jpg)![图](https://ehgt.org/dd/26/dd2677ebd7d6c88e74ad86244e5fe84c43c56dc8-1651800-1433-2024-jpg_l.jpg)![图](https://ehgt.org/e1/4d/e14dc61e5e2710b2baf364bcd36707c52c07bc2c-305562-1060-1510-jpg_l.jpg)![图](https://ehgt.org/2d/22/2d22e4410e447a79d46d2a5297f629b4523e675d-10830887-2550-3510-jpg_l.jpg)![图](https://ehgt.org/6b/af/6baf36624fb08d339988ad85a338558de597a3d0-582895-1000-1300-jpg_l.jpg)![图](https://ehgt.org/f5/8b/f58bf8ac0e921f3d2213d7dcc6cc15ce70e6fae0-3155011-2050-3031-png_l.jpg)![图](https://ehgt.org/56/24/5624c9d4fbe161484748bd6f2a1e9376e684097d-4741221-2070-3030-png_l.jpg) |  |
| hong meiling | 红美铃 | 中国![图](https://ehgt.org/47/f1/47f1533524ee2729b4d6e77a94e184fddaeea45b-1441551-2472-3493-jpg_l.jpg)![图](https://ehgt.org/54/2a/542aeb6ab503a1688e3720161c27fba3eeb29a6b-157303-1050-1504-jpg_l.jpg)![图](https://ehgt.org/46/00/46001212401f15e08c3577e3f21642574ab132a9-889017-1433-2024-jpg_l.jpg)![图](https://ehgt.org/0e/f2/0ef2f2fa5d8c7c3aa239d7bedeff8bb2f4368e5d-11392371-2550-3510-jpg_l.jpg)![图](https://ehgt.org/52/c0/52c05157174da815e8196d26246c7f56bf2a973b-4213654-2045-3031-png_l.jpg)![图](https://ehgt.org/3f/fc/3ffce142f55147c09a16da149f88ab871bef6311-4978816-2060-3030-png_l.jpg) |  |
| koakuma | 小恶魔 | ![图](https://ehgt.org/82/f9/82f9edaa6828b49285974d2d485d388d9a6b0935-281851-676-787-png_l.jpg)![图](https://ehgt.org/05/20/0520466d5371078b8a8eb2a9304115b726e1623c-4090876-3000-4118-jpg_l.jpg)![图](https://ehgt.org/12/d5/12d57590a1d78feb2c69cfe691a0b02c12579bc8-1305800-1433-2024-jpg_l.jpg)![图](https://ehgt.org/16/55/16552417ac39081685c6451a2afed80fa2a73bbe-10957146-2550-3510-jpg_l.jpg)![图](https://ehgt.org/83/fe/83feb11737d8e95621db90db8f63499f746b1b88-3769382-2050-3019-png_l.jpg)![图](https://ehgt.org/35/5c/355c2f2b32b0a2eb0f18a5572632a32c96ea4ea7-4709034-2063-3030-png_l.jpg) |  |
| patchouli knowledge | 帕秋莉·诺蕾姬 | ![图](https://ehgt.org/9f/c7/9fc7db56bba77d303626b103e705ee37e66ecdf9-350616-1500-2098-jpg_l.jpg)![图](# "https://ehgt.org/04/90/049041fd9bf7c02972ffc1a4e8738982500f5125-285357-1500-2098-jpg_l.jpg")![图](https://ehgt.org/d6/fb/d6fb159070112a2186df6460c140223275c89a96-9460112-4224-6054-jpg_l.jpg)![图](https://ehgt.org/38/52/3852878bee96764eb90da986bf31318dac7afbc1-2071262-1433-2024-jpg_l.jpg)![图](https://ehgt.org/67/9e/679ee1c112876980bcff353eb54665b055f67d90-981023-1433-2024-jpg_l.jpg)![图](https://ehgt.org/0c/c5/0cc5a4089e8571a01e5645ea50b599f8af79310c-132263-1050-1510-jpg_l.jpg)![图](https://ehgt.org/56/58/5658a50f4aa91c51c0f5a549ba461dbaeb304ee3-10400259-2550-3510-jpg_l.jpg)![图](https://ehgt.org/c1/74/c174b5c8b1b37015c0e387b575af931d27c7d74d-235645-461-700-jpg_l.jpg)![图](https://ehgt.org/83/fe/83feb11737d8e95621db90db8f63499f746b1b88-3769382-2050-3019-png_l.jpg)![图](https://ehgt.org/35/5c/355c2f2b32b0a2eb0f18a5572632a32c96ea4ea7-4709034-2063-3030-png_l.jpg) |  |
| sakuya izayoi | 十六夜咲夜 | 十六夜xiào夜![图](https://ehgt.org/77/c7/77c715630056338ca6098b043e530865f334f109-7279978-1793-2528-png_l.jpg)![图](https://ehgt.org/7a/8e/7a8e937cfe09e944c30dd715bab625ad347f5d46-2452032-1433-2024-jpg_l.jpg)![图](https://ehgt.org/60/d7/60d7e2e8a0e04f008564e421b08cab216cd81e27-3902706-4200-6061-jpg_l.jpg)![图](https://ehgt.org/e7/bd/e7bd78fccb8d9b8eb86151e3a689cddc394dc88c-1631699-1433-2024-jpg_l.jpg)![图](https://ehgt.org/c8/32/c832c10dcb0c920d92b6dd8c5f310583fc63ba42-314262-1060-1510-jpg_l.jpg)![图](https://ehgt.org/88/6a/886a4b864ee6a77c1b993eae04f0bdadf729d1b9-3931555-1400-2000-jpg_l.jpg)![图](https://ehgt.org/52/c0/52c05157174da815e8196d26246c7f56bf2a973b-4213654-2045-3031-png_l.jpg)![图](https://ehgt.org/3f/fc/3ffce142f55147c09a16da149f88ab871bef6311-4978816-2060-3030-png_l.jpg) |  |
| remilia scarlet | 蕾米莉亚·斯卡雷特 | ![图](https://ehgt.org/b6/e6/b6e66c25e373615bb8aaf5b6553a934f4ed9a6af-9836665-4246-6056-jpg_l.jpg)![图](https://ehgt.org/66/ee/66ee942639f99b4137bd4e1ac30a5b42af0dea5c-4508078-2122-3003-jpg_l.jpg)![图](https://ehgt.org/2d/e1/2de108aba771c9899a54fb0237549d9cf4b422d5-4109844-2117-3011-jpg_l.jpg)![图](https://ehgt.org/2d/68/2d688c8c8747a790b16db90423d5ed6afc3cf248-267677-1060-1510-jpg_l.jpg)![图](https://ehgt.org/21/6c/216c99b50e7b3f4f8d9038cac67a71002926a39b-3468463-2042-3026-png_l.jpg)![图](https://ehgt.org/67/c0/67c0016f763d297495b576d29097fae22e082a64-5011549-2057-3026-png_l.jpg) |  |
| flandre scarlet | 芙兰朵露·斯卡雷特 | ![我女儿](https://tva1.sinaimg.cn/large/6c84b2d6gw1e9hupw57iaj21201eotiq.jpg)![图](https://ehgt.org/4b/dd/4bddb7de83796033ad0c0f054f8db61c5e3c42ad-4191431-2115-3004-jpg_l.jpg)![图](https://ehgt.org/0e/3b/0e3b4696d76e437aab662b4de018041fd499dae1-8441456-4310-2957-jpg_l.jpg)![图](https://ehgt.org/db/29/db29965ffe05d45a4a8b714e50ece9700b2bee18-7981839-4306-2960-jpg_l.jpg)![图](https://ehgt.org/71/40/714051ecf7a0fedcd3902348a632e473fa4c0bb6-1336856-1433-2024-jpg_l.jpg)![图](https://ehgt.org/21/6c/216c99b50e7b3f4f8d9038cac67a71002926a39b-3468463-2042-3026-png_l.jpg)![图](https://ehgt.org/67/c0/67c0016f763d297495b576d29097fae22e082a64-5011549-2057-3026-png_l.jpg)![图](https://ehgt.org/bd/95/bd9559bd256504dee19acd2d7cdf910005784812-1218574-2093-2958-jpg_l.jpg) |  |
|  | 东方Project >> 东方妖妖梦 |  |  |
| letty whiterock | 蕾迪·霍瓦特罗克 | 蕾蒂·白石![图](https://ehgt.org/dd/ee/ddeead5c9d926e0de020bb07d552cba86888c4a6-237766-446-631-png_l.jpg)![图](https://ehgt.org/21/c8/21c8be18a99c7d209d4e9e97e7c8730962200e9e-1277542-1127-1600-png_l.jpg)![图](https://ehgt.org/01/8a/018a3e8bbf142b7ee93ae174669db8bf76897248-633016-1000-1300-jpg_l.jpg)![图](https://ehgt.org/77/fe/77febe3265b314dd0532983245a1b0a0a5f6633b-3568824-2098-3022-png_l.jpg) |  |
| chen | 橙 | ![图](https://ehgt.org/b2/f9/b2f90cb4a7ae53fb0ca67db33f5beb42c95166dc-1054714-1127-1600-png_l.jpg)![图](https://ehgt.org/03/43/0343c406c530674fb3d9bedeb9f1b823459d13c2-867546-1000-1300-jpg_l.jpg)![图](https://ehgt.org/d0/ce/d0cefd517a0b2f3e0440f72d8a5f08d995acbe9f-3102226-2061-3029-png_l.jpg)![图](https://ehgt.org/f3/a9/f3a96fc7c5c5e72edc1fe472e593f4c3d5a9bd65-4528766-2042-3028-png_l.jpg) |  |
| alice margatroid | 爱丽丝·玛格特洛依德 | ![我老婆](https://tva1.sinaimg.cn/large/6c84b2d6gw1ek1rimz6puj216o1kw7u7.jpg)![图](https://ehgt.org/f7/4b/f74b62998a2e57e031784aaffa74bf8dc6034902-8543386-4285-6068-jpg_l.jpg)![图](https://ehgt.org/c0/52/c052429f8439964887d4dc16575e966a44e17cd1-297484-1060-1510-jpg_l.jpg)![图](https://ehgt.org/e0/40/e0406e3e1aca41e8ddf6c0d6ba91d2cd64148543-985030-1400-2000-jpg_l.jpg)![图](https://ehgt.org/c5/63/c563aa8479bbcdb080d2c332e54a80eca5794065-241243-500-750-png_l.jpg)![图](https://ehgt.org/fa/d7/fad79463b1c7c4c5023667e45c5d68fcac3a3dfc-4092764-2057-3026-png_l.jpg)![图](https://ehgt.org/ce/b2/ceb22406da8728a60e1e88aa7c9cd536bd80a0e7-5393587-2048-3026-png_l.jpg)![图](https://ehgt.org/b3/1f/b31fad8cdba8050fd66355a51a65ddc07b86a176-1096777-1240-1754-jpg_l.jpg) |  |
|  | 东方Project >> 东方妖妖梦 >> 爱丽丝符卡 |  |  |
| shanghai | 上海人偶 | ![图](https://ehgt.org/7c/90/7c908cf70e951da916e8c859cee62f4d43fe9fa3-3854897-1409-2000-png_l.jpg)![图](https://ehgt.org/0c/cb/0ccb537f6a1b2bc1df8c4536b3d7ccfcf0f18ad3-1488703-1413-2000-jpg_l.jpg) |  |
| hourai | 蓬莱人偶 | ![图](https://ehgt.org/da/2e/da2e340e695870475b4db3adb0ae63e4a995c296-202491-1124-1600-jpg_l.jpg)![图](https://ehgt.org/da/73/da731f8e9fc11642ead176ce0ff79e19dd18283f-179439-460-669-png_l.jpg) |  |
| lily white | 莉莉霍瓦特 | 莉莉白![图](https://ehgt.org/9d/a2/9da236c73d59dcf268ce5623fb761125ecc26b22-1264282-1120-1600-png_l.jpg)![图](https://ehgt.org/67/ad/67addf57b2b6f1134c4dd61c61811e694e52cb3b-2498915-1433-2024-jpg_l.jpg)![图](https://ehgt.org/0b/d7/0bd708e922b542ec1eb9e8a838e208ef47759d43-726827-1000-1300-jpg_l.jpg)![图](https://ehgt.org/71/96/71963158d3478d13c9314e73c8ff367a57914a2d-399116-1000-1300-jpg_l.jpg)![图](https://ehgt.org/77/fe/77febe3265b314dd0532983245a1b0a0a5f6633b-3568824-2098-3022-png_l.jpg) |  |
| lily black | 莉莉黑 | 莉莉黑![图](https://ehgt.org/e0/ad/e0ad4c078d3a0276daa5ca9bf8f9899070d305f3-612987-1060-1510-jpg_l.jpg)![图](https://ehgt.org/98/16/981682a82d6cc2ce8181f903b671093a24ba11c9-556462-1060-1510-jpg_l.jpg) |  |
| lunasa prismriver | 露娜萨·普莉兹姆利巴 | ![露娜萨](http://mapaler.oschina.io/dajiadehuanxiangxiang-skin/imgdata/char/ATH001701.png)![图](https://ehgt.org/17/c0/17c0db669adb38654e91c392350d4eee9c657ea0-281633-846-1051-png_l.jpg)![图](# "https://ehgt.org/b1/95/b1958afa311a592c99e54a4a1ec7b5a0af0e3a4a-715240-1000-1300-jpg_l.jpg")![图](https://ehgt.org/aa/28/aa282fccb761f5feaa32611f52b7b3ddf34c5a1b-3373703-2113-3030-png_l.jpg)![图](https://ehgt.org/5f/ba/5fba84ea36a148fb4c0cc524a458f8f8162430e5-4086965-2041-3028-png_l.jpg) |  |
| merlin prismriver | 梅露兰·普莉兹姆利巴 | ![梅露兰](http://mapaler.oschina.io/dajiadehuanxiangxiang-skin/imgdata/char/ATH001801.png)![图](# "https://ehgt.org/a1/30/a13032f23a5a5ff2d1be33a2dd6020f6da7dc765-460738-1000-1300-jpg_l.jpg")![图](https://ehgt.org/b7/49/b749b93c18077bdac162a93e996e8d7ce8375500-833669-1000-1300-jpg_l.jpg)![图](https://ehgt.org/aa/28/aa282fccb761f5feaa32611f52b7b3ddf34c5a1b-3373703-2113-3030-png_l.jpg)![图](https://ehgt.org/5f/ba/5fba84ea36a148fb4c0cc524a458f8f8162430e5-4086965-2041-3028-png_l.jpg) |  |
