| 原始标签 | 名称 | 描述 | 外部链接 |
| final fantasy iii | 最终幻想III |  |  |
| final fantasy iv | 最终幻想IV |  |  |
| final fantasy v | 最终幻想V |  |  |
| final fantasy vi | 最终幻想VI |  |  |
| final fantasy vii | 最终幻想VII |  |  |
| final fantasy viii | 最终幻想VIII |  |  |
| final fantasy ix | 最终幻想IX |  |  |
| final fantasy x | 最终幻想X |  |  |
| final fantasy x-2 | 最终幻想X-2 |  |  |
| final fantasy xi | 最终幻想XI |  |  |
| final fantasy xii | 最终幻想XII |  |  |
| final fantasy xiii | 最终幻想XIII |  |  |
| final fantasy xiv | 最终幻想XIV |  |  |
| final fantasy xv | 最终幻想XV |  |  |
| final fantasy crystal chronicles | 最终幻想水晶编年史 |  |  |
| final fantasy tactics | 最终幻想战略版 |  |  |
| final fantasy tactics advance | 最终幻想战略版Advance |  |  |
| dissidia final fantasy | 最终幻想大乱斗 |  |  |
| final fantasy unlimited | 最终幻想：无限 |  |  |
| final fantasy type-0 | 最终幻想 零式 |  |  |
|  | ▲最终幻想 系列 |  |  |
| kill me baby | 爱杀宝贝 |  |  |
| shinryaku ika musume | 侵略！乌贼娘 |  |  |
| one piece | 海贼王 |  |  |
| dragon ball | 龙珠 |  |  |
| dragon ball z | 龙珠Z |  |  |
| dragon ball gt | 龙珠GT |  |  |
| dragon ball super | 龙珠超 |  |  |
| sakurasou no pet na kanojo | 樱花庄的宠物女孩 |  |  |
| myriad colors phantom world | 无彩限的怪灵世界 |  |  |
| soul eater | 噬魂师 |  |  |
| urara meirochou | Urara迷路帖 |  |  |
| ranma 12 | 乱马½ |  |  |
| yosuga no sora | 缘之空 |  |  |
|  | ▼火焰之纹章 系列 |  |  |
| fire emblem if | 火焰之纹章 if |  |  |
| fire emblem | 火焰之纹章 |  |  |
| fire emblem awakening | 火焰之纹章 觉醒 |  |  |
| fire emblem gaiden | 火焰之纹章外传 |  |  |
| fire emblem seisen no keifu | 火焰之纹章 圣战之系谱 |  |  |
| fire emblem thracia 776 | 火焰之纹章 多拉基亚776 |  |  |
| fire emblem fuuin no tsurugi | 火焰之纹章 封印之剑 |  |  |
| fire emblem rekka no ken | 火焰之纹章 烈火之剑 |  |  |
| fire emblem the sacred stones | 火焰之纹章 圣魔之光石 |  |  |
| fire emblem path of radiance | 火焰之纹章 苍炎之轨迹 |  |  |
| fire emblem radiant dawn | 火焰之纹章 晓之女神 |  |  |
| fire emblem mystery of the emblem | 火焰之纹章 纹章之谜 |  |  |
| fire emblem heroes | 火焰之纹章 英雄 |  |  |
| gintama | 银魂 |  |  |
| panty and stocking with garterbelt | 吊带袜天使 |  |  |
|  | ▼假面骑士 系列 |  |  |
| kamen rider | 假面骑士 |  |  |
| kamen rider decade | 假面骑士Decade |  |  |
| kamen rider amazon | 假面骑士亚马逊 |  |  |
| kamen rider wizard | 假面骑士Wizard |  |  |
| kamen rider drive | 假面骑士Drive |  |  |
| kamen rider ex-aid | 假面骑士EX-AID |  |  |
| kamen rider w | 假面骑士W |  |  |
| kamen rider hibiki | 假面骑士响鬼 |  |  |
| kamen rider kabuto | 假面骑士Kabuto |  |  |
| kamen rider den-o | 假面骑士电王 |  |  |
| kamen rider fourze | 假面骑士Fourze |  |  |
| kamen rider ooo | 假面骑士OOO |  |  |
| kamen rider shin | 真·假面骑士 |  |  |
|  | ▲假面骑士 系列 |  |  |
| kaiji | 赌博默示录 | 逆境无赖 |  |
| my hero academia | 我的英雄学院 |  |  |
| shinmai maou no testament | 新妹魔王的契约者 |  |  |
| youjo senki | 幼女战记 |  |  |
| touken ranbu | 刀剑乱舞 |  |  |
| teen titans | 少年泰坦 |  |  |
| undertale | 传说之下 |  |  |
| five nights at freddys | 在弗雷迪的五个夜晚 |  |  |
| one punch man | 一拳超人 |  |  |
| black rock shooter | 黑岩射手 |  |  |
| dragons crown | 龙之皇冠 |  |  |
| noir | 黑街二人组 |  |  |
| guilty crown | 罪恶王冠 |  |  |
| nana | 娜娜 |  |  |
| nier | 尼尔 |  |  |
| nier automata | 尼尔：机械纪元 |  |  |
| psycho-pass | 心理测量者 |  |  |
| ben 10 | 少年骇客 |  |  |
| hey arnold | 嘿，阿诺德！ |  |  |
| bungou stray dogs | 文豪Stray Dogs |  |  |
| gugure kokkuri-san | 银仙 |  |  |
| zootopia | 疯狂动物城 |  |  |
| umineko no naku koro ni | 海猫鸣泣之时 |  |  |
| ah my goddess | 我的女神 |  |  |
| denpa onna to seishun otoko | 电波女与青春男 |  |  |
| mirai nikki | 未来日记 |  |  |
| oshiete galko-chan | 告诉我！辣妹子酱 |  |  |
| eureka 7 | 交响诗篇 |  |  |
| darkstalkers | 恶魔战士 |  |  |
| x-men | X战警 |  |  |
| x-men evolution | X战警：进化 |  |  |
| ichigo 100 | 草莓100% |  |  |
| tonari no kaibutsu-kun | 邻座的怪同学 |  |  |
| danganronpa | 弹丸论破 |  |  |
| koutetsujou no kabaneri | 甲铁城的卡巴内利 |  |  |
| yu-gi-oh | 游戏王 |  |  |
| yu-gi-oh 5ds | 游戏王5D's |  |  |
| yu-gi-oh zexal | 游戏王ZEXAL |  |  |
| yu-gi-oh arc-v | 游戏王ARC-V |  |  |
| yu-gi-oh gx | 游戏王－怪兽之决斗GX |  |  |
| yu-gi-oh vrains | 游戏王VRAINS | 《游戏王VRAINS》（日语：遊☆戯☆王VRAINS）是一部于2017年开播的日本电视动画，为《游戏王》系列的第六部作品。 | [维基百科](https://zh.wikipedia.org/wiki/遊戲王VRAINS) (\*) |
| kimi ni todoke | 好想告诉你 |  |  |
| akatsuki no yona | 晨曦公主 |  |  |
| onii-chan dakedo ai sae areba kankeinai yo ne | 就算是哥哥，有爱就没问题了，对吧 |  |  |
| oniichan no koto nanka zenzen suki janain dakara ne | 腹黑妹妹控兄记!! |  |  |
| sora no woto | 空之音 |  |  |
| occult academy | 世纪末超自然学院 |  |  |
| gatchaman crowds | 科学小飞侠Crowds |  |  |
| saya no uta | 沙耶之歌 | 虚渊玄成名之作，克苏鲁元素甚多。 |  |
| vividred operation | 绯色战姬 |  |  |
| kodomo no jikan | 萝莉的时间 |  |  |
| shuffle | Shuffle! |  |  |
| power rangers | 超能战士 |  |  |
| rune soldier | 魔法战士李维 |  |  |
| kirby | 星之卡比 |  |  |
| sakura quest | 樱花任务 |  |  |
| aldnoah.zero | ALDNOAH.ZERO |  |  |
| maoyuu maou yuusha | 魔王勇者 |  |  |
| splatoon | 喷射战士 | ![图](https://ehgt.org/a8/78/a878b24da4c4996512e35d61cf7d94a56b70ee07-756252-796-890-png_l.jpg) |  |
| prunus girl | 樱桃少女 |  |  |
| king of fighters | 拳皇 |  |  |
| love plus | 爱相随 |  |  |
| love hina | 纯情房东俏房客 |  |  |
| akagami no shirayukihime | 赤发的白雪姬 |  |  |
| minami-ke | 南家三姐妹 |  |  |
| queens blade | 女王之刃 |  |  |
| sekirei | 鹡鸰女神 |  |  |
| yuuki yuuna wa yuusha de aru | 结城友奈是勇者 |  |  |
| blazblue | 苍翼默示录 | 唯美的格斗游戏系列，主要是游戏机平台 |  |
| frame arms girl | 机甲少女 |  |  |
| busou shinki | 武装神姬 |  |  |
| bayonetta | 猎天使魔女 | 三大ACT之一，任天堂独占系列。 |  |
| devil may cry | 鬼泣 | 制作生化危机时走错方向的意外作品。 |  |
| tekken | 铁拳 |  |  |
| super mario brothers | 超级马里奥兄弟 |  |  |
| spider-man | 蜘蛛侠 | 穷人靠变异系列的典范。 |  |
| gunsmith cats | 猫眼女枪手 |  |  |
| puzzle and dragons | 智龙迷城 | 《龙族拼图》（日语：パズル&ドラゴンズ，英语：Puzzle & Dragons，中国大陆译作“智龙迷城”，港台译作“龙族拼图”）是日本Gungho线上娱乐开发的智慧型手机游戏。此游戏是一个结合了角色扮演游戏及宝石消除游戏元素进行战斗的益智游戏。宝石消除的游戏模式是参考Dungeon Raid设计的，和宝石方块类似；而游戏的战斗模式则与神奇宝贝系列相似。此游戏于台港澳受关注，并因此引致不少疑似抄袭其游戏模式的手机游戏出现。包括台港澳地区另一大受欢迎的游戏《神魔之塔》等。<br>游戏曾获6个类别的“Fami通Award 2012”奖项、“CEDEC AWARDS 2012”最佳游戏设计奖、“Fami通Award 2013”优秀奖、Google Play 2014上半年度最佳卡牌游戏、2014巴哈姆特游戏大赏手机暨平板游戏金赏等殊荣。<br>![logo](https://pad.gungho.jp/member/common/img/top_v2/logo.png)![图](https://ehgt.org/d5/8b/d58ba39868d868672d0cc8f82635a6f81f35761b-248224-1024-886-jpg_l.jpg)![图](# "https://ehgt.org/af/4f/af4f916057e82146ed2e1505db8061618cad3404-74510-600-399-jpg_l.jpg") | [日版官方网站](https://pad.gungho.jp/member/index.html) [日版官方推特](https://twitter.com/pad_sexy) |
| senki zesshou symphogear | 战姬绝唱Symphogear |  |  |
| shaman king | 通灵王 |  |  |
| gegege no kitarou | 怪怪怪的鬼太郎 |  |  |
| marmalade boy | 橘子酱男孩 |  |  |
| esper mami | 超能力魔美 |  |  |
| fushigi no umi no nadia | 蓝宝石之谜 |  |  |
| martian successor nadesico | 机动战舰抚子 |  |  |
| kino no tabi | 奇诺之旅 |  |  |
| infinite ryvius | 无限的未知 |  |  |
| machine robo | 天威勇士 |  |  |
| rage of bahamut | 巴哈姆特之怒 |  |  |
| kono naka ni hitori imouto ga iru | 其中1个是妹妹 |  |  |
| sailor moon | 美少女战士 |  |  |
| dog days | 犬勇者物语 |  |  |
| onegai teacher | 拜托了☆老师 | 《拜托了☆老师》（日文：おねがい☆ティーチャー），是一部由Please!制作的动画作品。该部动画于2002年1月10日至3月28日在WOWOW播放；Animax Asia引进版权并于香港及东亚等地区播放，JET日本台引进版权并于台湾播放。另有漫画版本，由林家志弦作画。 | [维基百科](https://zh.wikipedia.org/zh-cn/拜託了☆老師) (\*) |
| onegai twins | 拜托了☆双子星 | 《拜托了☆双子星》（日语：おねがい☆ツインズ）是一部日本动画作品，是《拜托了☆老师》的续篇。 | [维基百科](https://zh.wikipedia.org/zh-cn/拜託了☆雙子星) (\*) |
| rinne no lagrange | 轮回的拉格朗日 |  |  |
| monster musume no iru nichijou | 魔物娘的相伴日常 |  |  |
| black lagoon | 黑礁 |  |  |
| steven universe | 史帝芬宇宙 |  |  |
| the legend of zelda | 塞尔达传说 |  |  |
| totally spies | 少女特工组 |  |  |
| the legend of korra | 科拉传奇 |  |  |
| kangoku senkan | 监狱战舰 |  |  |
| prison school | 监狱学园 |  |  |
|  | ▼超时空要塞 系列 |  |  |
| macross | 超时空要塞 |  |  |
| the super dimension fortress macross | 超时空要塞Macross |  |  |
| macross 7 | 超时空要塞7 |  |  |
| macross frontier | 超时空要塞F |  |  |
| macross plus | 超时空要塞Plus |  |  |
| macross delta | 超时空要塞Δ |  |  |
| macross vf-x | 超时空要塞VF-X |  |  |
|  | ▲超时空要塞 系列 |  |  |
| little red riding hood | 小红帽 |  |  |
| gekkan shoujo nozaki-kun | 月刊少女野崎君 |  |  |
| girl friend beta | 临时女友 |  |  |
| bakuman | 食梦者 |  |  |
| nisekoi | 伪恋 |  |  |
| blade and soul | 剑灵 |  |  |
| inu x boku ss | 妖狐×仆SS |  |  |
| guilty gear | 罪恶装备 |  |  |
| nanatsu no taizai | 七大罪 |  |  |
| starcraft | 星际争霸 |  |  |
| alice in wonderland | 爱丽丝梦游仙境 |  |  |
| ikkitousen | 一骑当千 |  |  |
| g.i. joe | 特种部队 |  |  |
| metroid | 银河战士 |  |  |
| metal gear solid | 合金装备 | 最伟大的游戏系列之一，金牌制作人小岛秀夫，原官方译名为潜龙谍影。 |  |
| tomb raider | 古墓丽影 |  |  |
| xena warrior princess | 战士公主西娜 |  |  |
| the fifth element | 第五元素 |  |  |
| terminator | 终结者 |  |  |
| yurikuma arashi | 百合熊风暴 |  |  |
| adventure time | 探险时光 |  |  |
| strike the blood | 噬血狂袭 |  |  |
| valkyrie drive | 女武神驱动 |  |  |
| saber marionette | 机械女神 |  |  |
| dance with devils | 与魔共舞 |  |  |
| samurai 7 | 七武士 |  |  |
| samurai jack | 杰克武士 |  |  |
| samurai deeper kyo | 鬼眼狂刀 |  |  |
| samurai pizza cats | 功夫猫党 |  |  |
| samurai spirits | 侍魂 |  |  |
| hyakka ryouran samurai girls | 百花缭乱 武士少女 |  |  |
| samurai champloo | 混沌武士 |  |  |
| afro samurai | 爆炸头武士 |  |  |
| samurai sentai shinkenger | 侍战队真剑者 |  |  |
| samurai flamenco | 武士弗拉明戈 |  |  |
| onechambara bikini samurai squad | 忌血的继承者 |  |  |
| samurai warriors | 战国无双 |  |  |
| dynasty warriors | 真·三国无双 |  |  |
| demons souls | 恶魔之魂 |  |  |
| seiken densetsu | 圣剑传说 |  |  |
| seiken densetsu 3 | 圣剑传说3 |  |  |
| kore wa zombie desu ka | 这个是僵尸吗？ |  |  |
| ojamajo doremi | 小魔女DoReMi |  |  |
| terra formars | 火星异种 |  |  |
| spirited away | 千与千寻 |  |  |
| el hazard | 神秘的世界 |  |  |
| langrisser | 梦幻模拟战 |  |  |
| slayers | 秀逗魔导士 |  |  |
| grendizer | UFO机器人 古连泰沙 |  |  |
| keroro gunsou | Keroro军曹 |  |  |
| sakura taisen | 樱花大战 | 樱花大战系列（罗马拼音Sakura Taisen ，英文名 Sakura Wars）是日本世嘉公司开发制作的恋爱养成类和策略类系列游戏，最早于1996年9月27日登录SEGA Saturn电视游戏平台。<br>主系列<br>樱花大战1（1996年）<br>樱花大战2～望君珍重～（1998年）<br>樱花大战3～巴黎在燃烧吗～（2001年）<br>樱花大战4～恋爱吧 少女～（2002年）<br>樱花大战5（2006年）<br>新樱花大战（2019:PS4）<br>动画<br>樱花大战(电视动画)————《樱花大战》TV版动画，共25话。<br>樱花大战OVA樱华绚烂————《樱花大战》OVA第一部，1997年出，共4话<br>樱花大战OVA轰华绚烂————《樱花大战》OVA第二部，1999年出，共6话<br>樱花大战OVA神崎堇引退纪念『す・み・れ』————《樱花大战》OVA特别篇，2002年出，全1话<br>樱花大战OVA燃烧的巴黎————《樱花大战》OVA第三部，2003年出，共3话<br>樱花大战OVA崭新的新巴黎————《樱花大战》OVA第四部，2004年出，共3话<br>樱花大战OVA纽约————《樱花大战》OVA第五部，2007年出，共6话<br>新樱花大战 the Animation————《新樱花大战》游戏改编TV版动画，2020年<br>![图](https://img.moegirl.org/common/thumb/d/dd/Sakura_taisan_all.jpg/250px-Sakura_taisan_all.jpg) | [萌娘百科](https://zh.moegirl.org/樱花大战系列) |
| saint seiya | 圣斗士星矢 |  |  |
| agent aika | 海底娇娃蓝华 |  |  |
| city hunter | 城市猎人 |  |  |
| record of lodoss war | 罗德岛战记 |  |  |
| super robot wars | 超级机器人大战 |  |  |
| super robot wars w | 超级机器人大战W |  |  |
| super robot wars k | 超级机器人大战K |  |  |
| super robot wars z 2nd | 第2次超级机器人大战Z |  |  |
| endless frontier | 无限边界：超级机器人大战OG传说 |  |  |
| hellsing | 地狱之歌 | 皇家国教骑士团 / 厄夜怪客 |  |
| super black jack | 兔女郎的诱惑 | Rio RainbowGate! / 里欧彩虹之门！ |  |
| hell teacher nube | 地狱老师 |  |  |
| hitsugi no chaika | 棺姬嘉依卡 |  |  |
| kishin douji zenki | 鬼神童子 |  |  |
| muv-luv | Muv-Luv |  |  |
| muv-luv alternative total eclipse | Muv-Luv Alternative Total eclipse |  |  |
| dangaioh | 破邪大星弹劾皇 |  |  |
| 3x3 eyes | 三只眼 |  |  |
| bakuretsu hunters | 爆走猎人 |  |  |
| vampire princess miyu | 吸血姬美夕 |  |  |
| reco love | 真爱记录 |  |  |
| spice and wolf | 狼与香辛料 |  |  |
| youkai watch | 妖怪手表 | 是LEVEL-5开发的全年龄任天堂3DS游戏，人气非常高，可以说是第二个精灵宝可梦。 |  |
| battle programmer shirase | 战争程序员白濑 |  |  |
| kung fu panda | 功夫熊猫 |  |  |
| star vs. the forces of evil | 星蝶公主 |  |  |
| the amazing world of gumball | 阿甘妙世界 |  |  |
| wakfu | 沃土 |  | [萌娘百科](https://zh.moegirl.org.cn/沃土) |
| wander over yonder | 宇宙小奇兵 |  |  |
| batman | 蝙蝠侠 |  |  |
| resident evil | 生化危机 | 台湾译作“恶灵古堡”，由日本卡普空公司推出，以恐怖惊悚与第三人称射击为主要内容。 |  |
| kim possible | 麻辣女孩 |  |  |
| jinrui wa suitai shimashita | 人类衰退之后 |  |  |
| miss machiko | 真知子老师 |  |  |
| gaogaigar | 勇者王 |  |  |
| hibike euphonium | 吹响！悠风号 |  |  |
| ragnarok online | 仙境传说 |  |  |
| no more heroes | 英雄不再 |  |  |
| akuma no riddle | 恶魔之谜 |  |  |
| overlord | 不死者之王 |  |  |
| full ani | Fullani | 全动画脱衣麻将 |  |
| full metal panic | 全金属狂潮 |  |  |
| fullmetal alchemist | 钢之炼金术师 |  |  |
| full moon wo sagashite | 寻找满月 | 星河满月 |  |
| full metal daemon muramasa | 装甲恶鬼村正 |  |  |
| futsuu no joshikousei ga locodol yattemita. | 普通女高中生要做当地偶像 |  |  |
| fallout | 辐射 | 真空管朋克+后启示录+黑色幽默的游戏系列 |  |
| fancy lala | 梦幻拉拉 |  |  |
| final fight | 快打旋风 |  |  |
| beauty and the beast | 美女与野兽 |  |  |
| baka to test to shoukanjuu | 笨蛋测验召唤兽 |  |  |
| arcana heart | 圣灵之心 |  |  |
| heroman | HEROMAN |  |  |
| anyamaru tantei kiruminzoo | 动物侦探奇鲁米 |  |  |
| kyoukai senjou no horizon | 境界线上的地平线 |  |  |
| rwby | RWBY |  |  |
| lupin iii | 鲁邦三世 |  |  |
| ensemble stars | 偶像梦幻祭 |  |  |
| ajin | 亚人 |  |  |
| kingdom hearts | 王国之心 |  |  |
| tobaku haouden zero | 赌博霸王传 零 |  |  |
| kannazuki no miko | 神无月的巫女 |  |  |
| haikyuu | 排球少年!! |  |  |
| free | Free! 男子游泳部 |  |  |
| itsuka tenma no kuro usagi | 曾几何时天魔的黑兔 |  |  |
| magic knight rayearth | 魔法骑士雷亚斯 |  |  |
| kochikame | 这里是葛饰区龟有公园前派出所 |  |  |
| bakusou kyoudai lets and go | 四驱兄弟 |  |  |
| the powerpuff girls | 飞天小女警 |  |  |
| powerpuff girls z | 飞天小女警Z |  |  |
| omoikkiri kagaku adventure sou nanda | 充满干劲十足的科学冒险—神秘智慧石 |  |  |
| wedding peach | 爱天使传说 婚纱桃子 |  |  |
| fushigiboshi no futagohime | 不可思议星球的☆双胞胎公主 |  |  |
| aquarion | 创圣的亚库艾里翁 |  |  |
| aquarion logos | 创圣的亚库艾里翁LOGOS |  |  |
| aquarion evol | 创圣的亚库艾里翁EVOL |  |  |
| welcome to the n.h.k. | 欢迎加入NHK！ |  |  |
| sakurako-san no ashimoto ni wa shitai ga umatteiru | 樱子小姐的脚下埋着尸体 |  |  |
| shimoneta to iu gainen ga sonzai shinai taikutsu na sekai | 下流梗不存在的灰暗世界 |  |  |
| kyonyuu fantasy | 巨乳幻想 |  |  |
| puyo puyo | 噗哟噗哟 | 魔法气泡 |  |
| kaku-san-sei million arthur | 扩散性百万亚瑟王 | 一直被模仿，〇〇被超越。由SE带来的手游冲击游戏机的风向。 |  |
| genji tsuushin agedama | 电脑小奇侠 |  |  |
| dennou coil | 电脑线圈 |  |  |
| god eater | 噬神者 |  |  |
| demi-chan wa kataritai | 亚人酱有话要说 |  |  |
| akazukin cha cha | 小红帽恰恰 |  |  |
| idol janshi suchie-pai | 美少女雀士 |  |  |
| twin angels | 淫兽圣战 |  |  |
| shadow lady | 月光淑女 |  |  |
| oboro muramasa | 胧村正 |  |  |
| zettai bouei leviathan | 绝对防卫利维坦 |  |  |
| tokimeki memorial | 心跳回忆 |  |  |
| future card buddyfight | 未来卡 搭档对战 |  |  |
| fun fun pharmacy | 不可思议魔法药店 |  |  |
| aiura | 校园日记 AIURA |  |  |
| gokujou seitokai | 极上学生会 |  |  |
| show by rock | Show By Rock!! |  |  |
| star fox | 星际火狐 |  |  |
| white album | 白色相簿❄ |  |  |
| tenchi muyo | 天地无用！ |  |  |
| variable geo | 格斗女神 | 姬武神传说 |  |
| ashita no nadja | 明日的娜嘉 |  |  |
| goldfish warning | 魔力小金鱼 |  |  |
| mazinger z | 铁甲万能侠 | 万能侠Z |  |
| magi the labyrinth of magic | 魔笛MAGI | MAGI魔奇少年、天方魔谭MAGI |  |
| ultraman | 奥特曼 |  |  |
| we bare bears | 咱们裸熊 |  |  |
| gravity falls | 怪诞小镇 |  |  |
| karakai jouzu no takagi-san | 擅长捉弄人的高木同学 |  |  |
| goshogun | 战国魔神豪将军 |  |  |
| plawres sanshiro | 无敌三四郎 |  |  |
| hime-chans ribbon | 缎带魔法少女 | 百变小姬子 |  |
|  | ▼ 对魔忍 系列 |  |  |
| taimanin asagi | 对魔忍阿莎姬 |  |  |
| makai kishi ingrid | 魔界骑士英格丽德 |  |  |
| taimanin yukikaze | 对魔忍雪风 |  |  |
|  | ▲ 对魔忍 系列 |  |  |
| kick-ass | 海扁王 |  |  |
| gad guard | 钢铁守护者 |  |  |
| tears to tiara | 提亚拉之泪 |  |  |
| december when there is no angel | 天使不在的12月 |  |  |
| comic party | 漫画同人会 | 漫画派对 |  |
| kizuato | 痕 |  |  |
| sentimental graffiti | 青涩宝贝 |  |  |
| bleach | 死神 |  |  |
| hayate no gotoku | 旋风管家 |  |  |
| yoake mae yori ruriiro na | 更胜黎明前的琉璃色 |  |  |
| fortune arterial | FORTUNE ARTERIAL |  |  |
| princess holiday | 公主假日 ~回转苹果亭的一千零一夜~ |  |  |
| tsuki wa higashi ni hi wa nishi ni | 东月西阳 | 夜月东升暮日西沉 |  |
| daitoshokan no hitsujikai | 大图书馆的牧羊人 |  |  |
| aiyoku no eustia | 秽翼的尤斯蒂娅 |  |  |
| rokka no yuusha | 六花的勇者 |  |  |
| seiren | 清恋 |  |  |
| oniisama e... | 亲亲天使心 | 青涩花园、少女梦、给哥哥的一封信 |  |
| long riders | 长骑美眉 |  |  |
| flower knight girl | 美少女花骑士 | 《美少女花骑士》（FLOWER KNIGHT GIRL、日语：フラワーナイトガール）是由Your Games开发，DMM.com运营的美少女战略卡牌类网页游戏。 |  |
| mitsudomoe | 超元气三姐妹 |  |  |
| no-rin | 农林 |  |  |
| space battleship yamato | 宇宙战舰大和号 |  |  |
| utawarerumono | 传颂之物 | 可爱的艾露露<br>![图](https://ehgt.org/91/fe/91fe1db07742e349063b92141cb10617b8614359-186457-1060-1493-jpg_l.jpg)![图](https://ehgt.org/d0/7c/d07c7f9190c58d5fb606057258b97857626186f2-64122-567-800-jpg_l.jpg) | [在线观看TV动画](https://www.bilibili.com/video/av2843236) [在线观看PS4重置版实况](https://www.bilibili.com/video/av42819048) |
| utawarerumono itsuwari no kamen | 传颂之物 虚伪的假面 | ![图](https://ehgt.org/1a/3f/1a3f95fe664e99ad630e28dc324c14418762b201-478114-1920-1080-jpg_l.jpg)![图](https://ehgt.org/54/11/54118e4bd7ab2197a284a00d7f22c381a4cdffea-4036251-1920-1080-png_l.jpg)![图](https://ehgt.org/d9/e0/d9e026b00a4114ec1ab3c4a2b18b549ab3ea03a9-2924615-1920-1080-png_l.jpg) | [在线观看游戏实况](https://www.bilibili.com/video/av2843236) [在线观看续作二人白皇实况（暂未出合集）](https://www.bilibili.com/video/av47971257) |
| highschool dxd | 恶魔高校D×D |  |  |
| the world god only knows | 只有神知道的世界 |  |  |
| mabinogi | 洛奇 | 玛奇 |  |
| m.u.g.e.n | MUGEN |  |  |
| summon night | 召唤之夜 | 召唤夜响曲 |  |
| mai-hime | 舞-HiME | 舞-HiME（日语：舞-HiME）是以日本日昇动画为中心展开的电视动画、漫画、广播、游戏等的跨媒体制作。以私立风华学园为舞台，描写学生间的友情与恋爱、战斗。获选为2005年第九回日本文部省文化厅媒体艺术祭动画部门推荐的作品。 | [维基百科](https://zh.wikipedia.org/zh-cn/舞-HiME) (\*) |
| mai-otome | 舞-乙HiME | 《舞-乙HiME》是由日本日昇动画制作的动画作品。虽然这是《舞-HiME》第二个系列，但《舞-乙HiME》发生在一个新的时空背景，除了角色相同以外，其余皆不相同。 | [维基百科](https://zh.wikipedia.org/zh-cn/舞-乙HiME) (\*) |
| hyouka | 冰菓 |  |  |
| ookami-san to shichinin no nakama-tachi | 大神与七位伙伴 | 大神与七位伙伴，又译野狼大神（日语：オオカミさんと七人の仲間たち）是冲田雅轻小说作品《大神与…系列》的第一部，并有动画等衍生作品。 |  |
| kikou shoujo wa kizutsukanai | 机巧少女不会受伤 |  |  |
| its not my fault that im not popular | 我不受欢迎，怎么想都是你们的错！ | 《我不受欢迎，怎么想都是你们的错！》（日语：私がモテないのはどう考えてもお前らが悪い!），通常又译《丧女》，是由谷川ニコ创作的一部漫画作品。现已动画化，由SILVER LINK负责制作并与2013年7月8日播出，每周一话。 |  |
| mouretsu pirates | 迷你裙宇宙海贼 |  |  |
| gantz | 杀戮都市 |  |  |
| angry birds | 愤怒的小鸟 |  |  |
| zero kara hajimeru mahou no sho | 从零开始的魔法书 |  |  |
| knights of sidonia | 希德尼娅的骑士 |  |  |
| sket dance | 学园救援团 |  |  |
| summer wars | 夏日大作战 |  |  |
| flcl | 特别的她 |  |  |
| the girl who leapt through time | 穿越时空的少女 |  |  |
| inazuma eleven | 闪电十一人 |  |  |
| battle royale | 大逃杀 |  |  |
| archaic sealed heat | 远古封印之炎 |  |  |
| fruits basket | 水果篮子 |  |  |
| tari tari | TARI TARI |  |  |
| the legend of heroes | 英雄传说 |  |  |
| the legend of the legendary heroes | 传说中勇者的传说 |  |  |
| the last of us | 最后生还者 |  |  |
| wall-e | 机器人总动员 |  |  |
| alpha teens on machines | A.T.O.M. |  |  |
| tera | 神谕之战 |  |  |
|  | ▼数码宝贝 系列 |  |  |
| digimon | 数码宝贝 |  |  |
| digimon adventure | 数码宝贝大冒险 |  |  |
| digimon tamers | 数码宝贝03驯兽师之王 |  |  |
| digimon frontier | 数码宝贝04无限地带 |  |  |
| digimon savers | 数码宝贝05拯救者 |  |  |
| digimon xros wars | 数码宝贝06合体战争 |  |  |
| digimon universe appli monsters | 数码宝贝宇宙-应用怪兽 |  |  |
|  | ▲数码宝贝 系列 |  |  |
| snow white and the seven dwarfs | 白雪公主和七个小矮人 |  |  |
| shadowverse | 影之诗 |  | [萌娘百科](https://zh.moegirl.org/zh/影之诗) |
| eyeshield 21 | 光速跑者21号 |  |  |
| skullgirls | 骷髅女孩 |  |  |
| the ring | 午夜凶铃 |  |  |
| the lord of the rings | 指环王 |  |  |
| the matrix | 黑客帝国 |  |  |
| evil dead | 鬼玩人 |  |  |
| from dusk till dawn | 杀出个黎明 |  |  |
| the sims | 模拟人生 |  |  |
| the big o | 魅影巨神 |  |  |
| the lion king | 狮子王 |  |  |
| frozen | 冰雪奇缘 |  |  |
| mortal kombat | 格斗之王 |  |  |
| aladdin | 阿拉丁 |  |  |
| the little mermaid | 小美人鱼 |  |  |
| atlantis the lost empire | 亚特兰蒂斯：失落的帝国 |  |  |
| sengoku otome | 战国少女～桃色异传～ |  |  |
| monster hunter | 怪物猎人 |  |  |
| sennen sensou aigis | 千年战争Aigis |  |  |
| star ocean 3 | 星之海洋3 |  |  |
| kokoro connect | 心灵链环 | 恋爱随意链接 |  |
| robopon | 机甲宝贝 |  |  |
| upotte | 枪械少女!! |  |  |
| tokyo mew mew | 东京喵喵 |  |  |
| mahoromatic | 魔力女管家 |  |  |
| sister princess | 妹妹公主 |  |  |
| ace attorney | 逆转裁判 |  |  |
| tiger and bunny | 老虎和兔子 |  |  |
| ghost in the shell | 攻壳机动队 |  |  |
| hunter x hunter | 全职猎人 |  |  |
| howls moving castle | 哈尔的移动城堡 |  |  |
| kikis delivery service | 魔女宅急便 |  |  |
